LSOA11CD,LSOAarea,SUM_service_area,LSOAname,population,per_capita_SA,per_square_meter_SA,location_quotient,Shape_Length,Shape_Area,pop_density
E01009106,220390.1719,227883.9867,Birmingham 029F,1268,179.7192383,1.034002542,0.605841517,2939.492923,220390.1764,5753
E01009107,351981.1563,150010.668,Birmingham 128A,1838,81.61624908,0.426189482,0.275132,4759.251875,351981.157,5222
E01009108,307163.1875,14476.85651,Birmingham 127A,1041,13.90668297,0.047130831,0.046880044,3766.905544,307163.199,3389
E01009109,182550.4531,0,Birmingham 123B,1558,0,0,0,3306.911098,182550.4515,8535
E01009110,386134.5,79385.49505,Birmingham 128B,1531,51.8520546,0.205590263,0.174795583,3639.823607,386134.4925,3965
E01009111,260285.2656,0,Birmingham 127B,1510,0,0,0,3510.810066,260285.2624,5801
E01009112,309230.0938,71237.53078,Birmingham 127C,1666,42.75962067,0.230370626,0.144144595,2823.773825,309230.0906,5388
E01009113,500348.75,22919.63825,Birmingham 128C,1410,16.2550621,0.045807324,0.054796539,6963.950381,500348.751,2818
E01009114,266955.625,0,Birmingham 128D,1534,0,0,0,3333.148019,266955.6291,5746
E01009115,338111.7188,0,Birmingham 128E,1438,0,0,0,4177.463571,338111.709,4253
E01009116,1039212.438,468695.9038,Birmingham 127D,1408,332.8806152,0.451010674,1.122155309,5307.655462,1039212.428,1355
E01009117,283253.1563,0,Birmingham 126A,2251,0,0,0,2792.92513,283253.1501,7947
E01009118,258114.8594,1132.705153,Birmingham 127E,1428,0.793210864,0.004388377,0.002673949,3859.286661,258114.8528,5532
E01009119,998352.25,448997.8828,Birmingham 123C,1451,309.4403076,0.44973895,1.043137074,7616.682876,998352.2576,1453
E01009120,370606.7188,54183.19562,Birmingham 123D,1532,35.36762238,0.146201327,0.119225822,4628.726089,370606.7174,4134
E01009121,539483.4375,720761.6122,Birmingham 014A,2373,303.7343445,1.336021781,1.023902059,4809.651424,539483.4139,4399
